static_text,log_level,preprocessed_text
Null reader for ,warn,null reader
Failed to delete the leftover file  |  after an unfinished compaction.,warn,fail delet leftov file unfinish compact
$$$Empty Message$$$,info,empti messag
totalCompactingKVs=* less than currentCompactedKVs=*,warn,less
task execution preempted ,warn,task execut preempt
task execution interrupted because worker is exiting ,info,task execut interrupt worker exit
Worker  |  done with task  |  in  | ms. Status = ,info,worker done task statu
Interrupted joining ,warn,interrupt join
$$$Empty Message$$$,warn,empti messag
Open region aborted since it isn't opening any more,warn,open region abort sinc open
Was not able to trigger a flush from primary region due to old server version?  | Continuing to open the secondary region replica: ,warn,abl trigger flush primari region due old server version continu open secondari region replica
Received CLOSE for region * but currently not serving - ignoring,warn,receiv close region current serv ignor
"Can't close region *, was already closed during close()",warn,ca close region alreadi close close
"Failed to open region *, will report to master",warn,fail open region report master
"Received OPEN for the region:*, which is already online",warn,receiv open region alreadi onlin
"Receiving OPEN for the region:*, which we are already trying to OPEN - ignoring this new request for this region.",info,receiv open region alreadi tri open ignor new request region
"Receiving OPEN for the region:*, which we are trying to close, try again after *ms",info,receiv open region tri close tri ms
Open *,info,open
Opened *,info,open
"Fatal error occurred while opening region *, aborting...",warn,fatal error occur open region abort
"Received CLOSE for the region: *, which we are already trying to OPEN. try again after *ms",warn,receiv close region alreadi tri open tri ms
"Received CLOSE for the region: *, which we are already trying to CLOSE, but not completed yet",info,receiv close region alreadi tri close complet yet
Close *,info,close
"Can't close region *, was already closed during close()",warn,ca close region alreadi close close
Closed *,info,close
"Fatal error occurred while closing region *, aborting...",warn,fatal error occur close region abort
Aborting all online FLUSH snapshot subprocedure task threads for ' | ' due to error,info,abort onlin flush snapshot subprocedur task thread due error
Stopping RegionServerSnapshotManager  | .,info,stop regionserversnapshotmanag
unexpected future,warn,unexpect futur
Got InterruptedException in SnapshotSubprocedurePool,warn,got interruptedexcept snapshotsubprocedurepool
Rethrowing ForeignException from SnapshotSubprocedurePool,warn,rethrow foreignexcept snapshotsubprocedurepool
Got Exception in SnapshotSubprocedurePool,warn,got except snapshotsubprocedurepool
"Unable to load configured throughput controller ' | ', load default throughput controller  |  instead",warn,unabl load configur throughput control load default throughput control instead
" is deprecated, please use  |  instead",warn,deprec pleas use instead
"Flush throughput configurations, upper bound:  | , lower bound  | , tuning period:  |  ms",info,flush throughput configur upper bound lower bound tune period ms
" average throughput is  | , slept  |  time(s) and total slept time is  |  ms.  |  active operations remaining, total limit is ",info,averag throughput slept time total slept time activ oper remain total limit
"Unable to load configured flush throughput controller ' | ', load default throughput controller  |  instead",warn,unabl load configur flush throughput control load default throughput control instead
"Compaction throughput configurations, higher bound:  | , lower bound  | , off peak:  | , tuning period:  |  ms",info,compact throughput configur higher bound lower bound peak tune period ms
"normal close failed, try recover",warn,normal close fail tri recov
"Got an old ROOT edit, ignoring ",info,got old root edit ignor
"Flushing Map not cleaned up for  | , sequenceid=",warn,flush map clean
Couldn't find oldest sequenceid for ,warn,could find oldest sequenceid
"WAL configuration: blocksize= | , rollsize= | , prefix= | , suffix= | , logDir= | , archiveDir=",info,wal configur
"Too many WALs; count= | , max= | ; forcing flush of  |  regions(s): ",info,mani wal forc flush region
Archiving  |  to ,info,archiv
"Rolled WAL * with entries=*, filesize=*; new WAL *",info,roll wal new wal
New WAL *,info,new wal
Interrupted,warn,interrupt
Closed WAL: ,info,close wal
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,warn,empti messag
"After parsing the trailer, we expect the total footer to be * bytes, but we calculate it as being *",warn,pars trailer expect total footer byte calcul
"Invalid trailer Size  | , ignoring the trailer",warn,invalid trailer size ignor trailer
Please investigate WALTrailer usage. Trailer size > maximum configured size :  |  > ,warn,pleas investig waltrail usag trailer size maximum configur size
Got IOE while reading the trailer. Continuing as if no trailer is present.,warn,got ioe read trailer continu trailer present
"Encountered a malformed edit, but can't seek back to last good position because originalPosition is negative. last offset=*",warn,encount malform edit ca seek back last good posit originalposit neg last
"Encountered a malformed edit, seeking to the beginning of the WAL since current position and original position match at *",warn,encount malform edit seek begin wal sinc current posit origin posit match
Reached the end of file at position *,info,reach end file posit
"Encountered a malformed edit, seeking back to last good position in file, from * to *",warn,encount malform edit seek back last good posit file
pre-sync failed but an optimization so keep going,warn,fail optim keep go
Failed sync-before-close but no outstanding appends; closing WAL,warn,fail outstand append close wal
"Riding over failed WAL close of  | , cause=\ | \ | ; THIS FILE WAS NOT CLOSED BUT ALL EDITS SYNCED SO SHOULD BE OK",warn,ride fail wal close file close edit sync ok
Timed out bringing down disruptor after  | ms; forcing halt  | (It is a problem if this is NOT an ABORT! -- DATALOSS!!!!),warn,time bring disruptor ms forc halt problem abort dataloss
UNEXPECTED,warn,unexpect
"UNEXPECTED, continuing",warn,unexpect continu
HDFS pipeline error detected.  | Found  |  replicas but expecting no less than  |  replicas.  |  Requesting close of WAL. current pipeline: ,warn,hdf pipelin error detect found replica expect less replica request close wal current pipelin
"Too many consecutive RollWriter requests, it's a sign of the total number of live datanodes is lower than the tolerable replicas.",warn,mani consecut rollwrit request sign total number live datanod lower toler replica
LowReplication-Roller was enabled.,info,enabl
"DFSOutputStream.getNumCurrentReplicas failed because of  | , continuing...",warn,fail continu
$$$Empty Message$$$,info,empti messag
Interrupted ,warn,interrupt
$$$Empty Message$$$,warn,empti messag
%s took %d ms appending an edit to wal; len~=%s,warn,took ms append edit wal
WALTrailer is null. Continuing with default.,warn,waltrail null continu default
Please investigate WALTrailer usage. Trailer size > maximum size :  |  > ,warn,pleas investig waltrail usag trailer size maximum size
"Failed to write trailer, non-fatal, continuing...",warn,fail write trailer continu
"Can not get task queue of  | , this is not necessary, just give up",warn,get task queue necessari give
sync failed,warn,sync fail
RingBufferTruck with unexpected type: ,warn,ringbuffertruck unexpect type
Lost the ZooKeeper connection for peer ,warn,lost zookeep connect peer
Creation of ZookeeperWatcher failed for peer ,warn,creation zookeeperwatch fail peer
"Detected change to peer region servers, fetching updated list",info,detect chang peer region server fetch updat list
Failed to get bulk load events information from the WAL file.,warn,fail get bulk load event inform wal file
Not tracking replication peer config changes for Peer Id  |  because there's no such peer,warn,track replic peer config chang peer id peer
"Failed to read zookeeper, skipping checking deletable files",warn,fail read zookeep skip check delet file
Stopping ,info,stop
"Failed to read hfile references from zookeeper, skipping checking deletable files",warn,fail read hfile refer zookeep skip check delet file
 is not enabled. Better to remove  |  from  |  configuration.,warn,enabl better remov configur
Stopping ,info,stop
"Failed to read hfile references from zookeeper, skipping checking deletable  | file for ",warn,fail read hfile refer zookeep skip check delet file
Copy table ColumnFamilies into peer=,info,copi tabl columnfamili
No tableCFs in peerNode:,info,tablecf peernod
"NOTICE!! Update peerId failed, peerId=",warn,notic updat peerid fail
"NOTICE!! Update peerId failed, peerId=",warn,notic updat peerid fail
"NOTICE!! Update peerId failed, peerId=",warn,notic updat peerid fail
* Failed to create connection for peer cluster,warn,fail creat connect peer cluster
"* No replication sinks found, returning without replicating. The source should retry with the same set of edits.",warn,replic sink found return without replic sourc retri set edit
* Can't replicate because of an error on the remote cluster: ,warn,ca replic error remot cluster
"* Missing table detected at sink, local table also does not exist, filtering edits for '*'",info,miss tabl detect sink local tabl also exist filter edit
* Exception checking for local table: ,warn,except check local tabl
"* Peer encountered RemoteException, rechecking all sinks: ",warn,peer encount remoteexcept recheck sink
"* Peer is unavailable, rechecking all sinks: ",warn,peer unavail recheck sink
* Can't replicate because of a local or network error: ,warn,ca replic local network error
* Failed to close the connection,warn,fail close connect
"queueId= | , ReplicationSource :  | , currentBandwidth=",info,replicationsourc
WAL group  |  queue size:  |  exceeds value of replication.source.log.queue.warn: ,warn,wal group queue size exce valu
Ignore the exception as the file size of HLog only affects the web ui,warn,ignor except file size hlog affect web ui
"* No replication ongoing, waiting for new log",warn,replic ongo wait new log
"ReplicationSource :  |  bandwidth throttling changed, currentBandWidth=",info,replicationsourc bandwidth throttl chang
"* error creating ReplicationEndpoint, retry",warn,error creat replicationendpoint retri
"* Error starting ReplicationEndpoint, retry",warn,error start replicationendpoint retri
"* Source: *, is now replicating from cluster: *; to peer cluster: *;",info,sourc replic cluster peer cluster
* Closing source * because: *,info,close sourc
* Interrupted while waiting * to stop,info,interrupt wait stop
* ReplicationSourceWorker * terminated,info,replicationsourcework termin
* Got exception while waiting for endpoint to shutdown for replication source : *,warn,got except wait endpoint shutdown replic sourc
"Passed replication source implementation throws errors, defaulting to ReplicationSource",warn,pass replic sourc implement throw error default replicationsourc
"Couldn't get file length information about log *, it * closed cleanly *",warn,could get file length inform log close cleanli
"Processing end of WAL file '*'. At position *, which is too far away from reported file length *. Restarting WAL reading (see HBASE-15983 for details). *",warn,process end wal file posit far away report file length restart wal read see detail
Log  |  was moved to ,info,log move
Log  |  was moved to ,info,log move
Try to recover the WAL lease ,warn,tri recov wal leas
"Got NPE opening reader, will retry.",warn,got npe open reader retri
unable to recover lease for WAL: ,warn,unabl recov leas wal
Received exception while creating connection :,warn,receiv except creat connect
Got exception while trying to close OutputSink,warn,got except tri close outputsink
Failed to shutdown the thread pool after 10 seconds,warn,fail shutdown thread pool 10 second
Got interrupted while waiting for the thread pool to shut down,warn,got interrupt wait thread pool shut
Got exception closing connection :,warn,got except close connect
Received IOException while trying to replicate,warn,receiv ioexcept tri replic
"peerClusterZnode= | , ReplicationSourceWALReaderThread :  |  inited, replicationBatchSizeCapacity= | , replicationBatchCountCapacity= | , replicationBatchQueueCapacity=",info,replicationsourcewalreaderthread init
Forcing removal of 0 length log in queue: ,warn,forc remov length log queue
Couldn't get file length information about log ,warn,could get file length inform log
Replication process did not find any files to replicate in directory ,warn,replic process find file replic directori
"Error occurred while replicating HFiles, retry attempt  |  with  |  files still remaining to replicate.",warn,error occur replic hfile retri attempt file still remain replic
Failed to delete the staging directory ,warn,fail delet stage directori
Failed to close the table.,warn,fail close tabl
Failed to copy hfile from  |  to  | . Trying to copy from hfile archive directory.,info,fail copi hfile tri copi hfile archiv directori
* threw unknown exception:,warn,threw unknown except
Loading source cluster FS client conf for cluster ,info,load sourc cluster fs client conf cluster
Loading source cluster  |  file system configurations from xml  | files under directory ,info,load sourc cluster file system configur xml file directori
Current list of replicators:  |  other RSs: ,info,current list replic rss
Number of deleted recovered sources for  | : ,info,number delet recov sourc
Terminate replication source for ,info,termin replic sourc
Startup replication source for ,info,startup replic sourc
Done with the recovered queue ,info,done recov queue
Done with the queue ,info,done queue
Cancelling the transfer of  |  because of ,info,cancel transfer
Interrupted while waiting before transferring a queue.,warn,interrupt wait transfer queue
Not transferring queue since we are shutting down,info,transfer queue sinc shut
Interrupted while waiting before transferring a queue.,warn,interrupt wait transfer queue
"Skipping failover for peer * of node *, peer is null",warn,skip failov peer node peer null
Peer * is disabled. ReplicationSyncUp tool will skip replicating data to this peer.,warn,peer disabl replicationsyncup tool skip replic data peer
NB dead servers : ,info,nb dead server
Possible location ,info,possibl locat
Log  |  still exists at ,info,log still exist
Log  |  found at ,info,log found
Finished recovering queue * with the following stats: *,info,finish recov queue follow stat
"Received a peer change event, peerId= | , type=",info,receiv peer chang event
Closing worker for wal group * because: *,info,close worker wal group
ReplicationSourceWorker * terminated,info,replicationsourcework termin
$$$Empty Message$$$,info,empti messag
"Current list of sinks is out of date or empty, updating",info,current list sink date empti updat
Failed to instantiate ,warn,fail instanti
IOException while closing the connection,warn,ioexcept close connect
Our Quorum: ,info,quorum
No tables with a configured replication peer were found.,info,tabl configur replic peer found
Replicated Tables: ,info,replic tabl
Replication is enabled but no peer configuration was found.,info,replic enabl peer configur found
"Found [--distributed], will poll each RegionServer.",info,found distribut poll regionserv
"WAL  |  couldn't be found, skipping",warn,wal could found skip
"Can't get file status of WAL  | , skipping",warn,ca get file statu wal skip
"DumpReplicationQueue received abort, ignoring.  Reason: ",warn,dumpreplicationqueu receiv abort ignor reason
"DumpReplicationQueue received stop, ignoring.  Reason: ",warn,dumpreplicationqueu receiv stop ignor reason
Skipping permission cache refresh because writable data is empty,info,skip permiss cach refresh writabl data empti
Interrupted while waiting for start,warn,interrupt wait start
"Could not cancel processing node children changed event, please file a JIRA and attach logs if possible.",warn,could cancel process node children chang event pleas file jira attach log possibl
aclZNode changed after ZKPermissionWatcher was shutdown,warn,aclznod chang zkpermissionwatch shutdown
No acl notify node of table ' | ',warn,acl notifi node tabl
No acl notify node of namespace ' | ',warn,acl notifi node namespac
$$$Empty Message$$$,warn,empti messag
No permissions found in  |  for acl entry ,info,permiss found acl entri
AccessController has been loaded with authorization checks DISABLED!,warn,accesscontrol load author check disabl
A minimum HFile version of 3 is required to persist cell ACLs. Consider setting hfile.format.version accordingly.,info,minimum hfile version requir persist cell acl consid set accordingli
Not adding owner permission for table  | .  |  is not yet created.  |  should be configured as the first Coprocessor,warn,ad owner permiss tabl yet creat configur first coprocessor
 entry deleted in  |  table.,info,entri delet tabl
Thread leaderElector[ | : | ] is stopped or not alive,warn,thread leaderelector stop aliv
Thread leaderElector [ | : | ] is started,info,thread leaderelector start
Skipping removeExpiredKeys() because not running as master.,info,skip removeexpiredkey run master
Skipping rollCurrentKey() because not running as master.,info,skip rollcurrentkey run master
"Stopping leader election, because: ",info,stop leader elect
"Token generation denied for user= | , authMethod=",warn,token gener deni
Use the existing token: ,info,use exist token
Failed to cancel HDFS delegation token: ,warn,fail cancel hdf deleg token
Trying to use table specific value for config  | 'hbase.regionserver.visibility.label.service.class' which is not supported. |  Will use the cluster level VisibilityLabelService class ,warn,tri use tabl specif valu config support use cluster level visibilitylabelservic class
$$$Empty Message$$$,warn,empti messag
Dropping authorizations requested by user  | : ,warn,drop author request user
The VisibilityController has been loaded with authorization checks disabled.,warn,visibilitycontrol load author check disabl
Failed to get active system user.,warn,fail get activ system user
starting restore table regions using snapshot=,info,start restor tabl region use
Nothing to restore. Snapshot  |  looks empty,warn,noth restor snapshot look empti
region to restore: ,info,region restor
region to remove: ,info,region remov
region to add: ,info,region add
finishing restore table regions using snapshot=,info,finish restor tabl region use
Skip update of unreferenced offline parent: ,warn,skip updat unreferenc offlin parent
clone region= |  as ,info,clone
Adding HFileLink  |  to table=,info,ad hfilelink
"Restore snapshot acl to table. snapshot:  | , table: ",info,restor snapshot acl tabl snapshot tabl
"can't write manifest without parent dir, maybe it has been deleted by master?",warn,ca write manifest without parent dir mayb delet master
Snapshot ' | ' not found in: ,warn,snapshot found
Using old Snapshot Format,info,use old snapshot format
Bulk load operation did not get any files to load,warn,bulk load oper get file load
"You are skipping HFiles validation, it might cause some data loss if files are not correct. If you fail to read data from your table after using this option, consider removing the files and bulkload again without this option. See HBASE-13985",warn,skip hfile valid might caus data loss file correct fail read data tabl use option consid remov file bulkload without option see
Bulk load operation did not find any files to load in directory *. Does it contain files in subdirectories that correspond to column family names?,warn,bulk load oper find file load directori contain file subdirectori correspond column famili name
SecureBulkLoadEndpoint is deprecated. It will be removed in future releases.,warn,securebulkloadendpoint deprec remov futur releas
Secure bulk load has been integrated into HBase core.,warn,secur bulk load integr hbase core
"Split occurred while grouping HFiles, retry attempt  |  with  |  files remaining to group or split",info,split occur group hfile retri attempt file remain group split
HFile at  |  no longer fits inside a single  | region. Splitting...,info,hfile longer fit insid singl region split
Unable to delete temporary split file ,warn,unabl delet temporari split file
Successfully split into new HFiles  |  and ,info,success split new hfile
Trying to load hfile= |  first= |  last=,info,tri load
"hfile  |  has no entries, skipping",info,hfile entri skip
Attempt to bulk load region containing  |  into table  |  with files  |  failed.  This is recoverable and they will be retried.,warn,attempt bulk load region contain tabl file fail recover retri
Received a  |  from region server: ,warn,receiv region server
Will attempt to retry loading failed HFiles. Retry #,warn,attempt retri load fail hfile retri
Setting compression  |  for family ,info,set compress famili
Trying to figure out region boundaries hfile= |  first= |  last=,info,tri figur region boundari
Table  |  is available!!,info,tabl avail
Trying to bulk load hfile  |  with size:  |  bytes can be problematic as it may lead to oversplitting.,warn,tri bulk load hfile size byte problemat may lead oversplit
Skipping non-directory ,warn,skip
Skipping invalid ,warn,skip invalid
Skipping non-file ,warn,skip
Skipping reference ,warn,skip refer
Skipping HFileLink ,warn,skip hfilelink
the file  |  doesn't seems to be an hfile. skipping,warn,file seem hfile skip
the file  |  was removed,warn,file remov
failed to close hfile reader for ,warn,fail close hfile reader
Read from * on * in *ms,info,read ms
Read from * on * in *ms,info,read ms
Read from * on * * in *ms,info,read ms
Write to * on * * in *ms,info,write ms
Read operation for * took *ms (Configured read timeout *ms.,info,read oper took ms configur read timeout ms
Write operation for * took *ms. Configured write timeout *ms.,info,write oper took configur write timeout ms
"Number of live regionservers *, pre-splitting the canary table into * regions (current lower limit of regions per server is * and you can change it with config *).hbase.canary.write.perserver.regions.lowerLimit",info,number live regionserv canari tabl region current lower limit region per server chang config
Table * is not enabled,warn,tabl enabl
"Confirm allowable number of failed ZooKeeper nodes, as quorum will already be lost. Setting of * failures is unexpected for * ensemble size.",warn,confirm allow number fail zookeep node quorum alreadi lost set failur unexpect ensembl size
Successfully read * regions out of * on regionserver *,info,success read region regionserv
"No RegionServerInfo found, regionServerPattern *",info,regionserverinfo found regionserverpattern
"No RegionServerInfo found, regionServerName *",info,regionserverinfo found regionservernam
Execution thread count=*,info,execut thread
Validating Data Block Encodings,info,valid data block encod
"Incompatible DataBlockEncoding for table: *, cf: *, encoding: *",warn,incompat datablockencod tabl cf encod
There are * column families with incompatible Data Block Encodings. Do not upgrade until these encodings are converted to a supported one. Check https://s.apache.org/prefixtree for instructions.,warn,column famili incompat data block encod upgrad encod convert support one check http instruct
The used Data Block Encodings are compatible with HBase 2.0.,info,use data block encod compat hbase
Validating HFile contents under *,info,valid hfile content
Validating HFile contents under *,info,valid hfile content
"Checked * HFiles, none of them are corrupted.",info,check hfile none corrupt
There are no incompatible HFiles.,info,incompat hfile
"Checked * HFiles, * are corrupted.",info,check hfile corrupt
Corrupted file: *,info,corrupt file
Change data block encodings before upgrading. Check https://s.apache.org/prefixtree for instructions.,info,chang data block encod upgrad check http instruct
Wrote  |  times in region ,info,wrote time region
Warning in class '*': *.,warn,warn class
Warning in class '*': *.,warn,warn class
Moving region: |  from  |  to ,info,move region
Retry  |  of maximum ,info,retri maximum
Moved Region  |  cost: | %.3f,info,move region cost
Moving region: |  from  |  to ,info,move region
Moved  |  from  |  to ,info,move
Moving  |  regions to  |  using  |  threads.Ack mode:,info,move region use mode
Could not get server for Region: |  moving on,warn,could get server region move
Region  |  is already on target server=,info,region alreadi target
No Regions to move....Quitting now,info,region move quit
Moving  |  regions from  |  to  |  servers using  |  threads .Ack Mode:,info,move region server use thread mode
Timed out before finishing the  |  operation. Timeout:  | sec,warn,time finish oper timeout sec
Interrupted while  |  Regions on ,warn,interrupt region
"Server  | : |  is not up yet, waiting",warn,server yet wait
Could not get list of region servers,warn,could get list region server
"Exception while reading excludes file, continuing anyways",warn,except read exclud file continu anyway
Valid Region server targets are:,info,valid region server target
Excluded Servers are,info,exclud server
Stopped backup Master * is stopped: *,info,stop backup master stop
"Found more than 1 active master, hash *",warn,found activ master hash
Got InterruptedException on shutdown - not waiting anymore on region server ends,info,got interruptedexcept shutdown wait anymor region server end
"RegionServerThreads remaining, give one more chance before interrupting",warn,regionserverthread remain give one chanc interrupt
"RegionServerThreads taking too long to stop, interrupting; thread dump  | if > 3 attempts: i=",warn,regionserverthread take long stop interrupt thread dump attempt
Got InterruptedException on shutdown - not waiting anymore on master ends,info,got interruptedexcept shutdown wait anymor master end
Shutdown of  | 0 |  master(s) and  | 0 |  regionserver(s)  | interrupted,info,shutdown master regionserv interrupt
"Could not find scheme for uri  | , default to hdfs",warn,could find scheme uri default hdf
"Version file was empty, odd, will try to set it.",warn,version file empti odd tri set
Created version file at  |  with version=,info,creat version file
"Unable to check cluster ID file in  | , retrying in  | msec: ",warn,unabl check cluster id file retri msec
Cluster ID file  |  was empty,warn,cluster id file empti
Cluster ID file  |  was empty,warn,cluster id file empti
Cluster ID file does not exist at ,warn,cluster id file exist
"Unable to create cluster ID file in  | , retrying in  | msec: ",warn,unabl creat cluster id file retri msec
Waiting for dfs to exit safe mode...,info,wait df exit safe mode
unable to verify if path= |  is a regular file,warn,unabl verifi regular file
An error occurred while verifying if [ | ] is a valid directory. Returning 'not valid' and continuing.,warn,error occur verifi valid directori return valid continu
INVALID NAME ,info,invalid name
Skipping file  |  due to IOException,warn,skip file due ioexcept
Skipping file  |  due to IOException,warn,skip file due ioexcept
Skipping file  |  due to IOException,warn,skip file due ioexcept
Skipping file  |  due to IOException,warn,skip file due ioexcept
Skipping region because it no longer exists: ,warn,skip region longer exist
Skipping region because it has no family dirs: ,warn,skip region famili dir
Error Counting reference files.,warn,error count refer file
Locality checking is underway: { Scanned Regions :  | / |  },info,local check underway scan region
$$$Empty Message$$$,info,empti messag
"Configuration \ | be set to true. |  HBase checksum doesn't require  | it, see https://issues.apache.org/jira/browse/HBASE-6868.",warn,configur set true hbase checksum requir see http
Failed find method  |  in dfsclient; no hedged read metrics: ,warn,fail find method dfsclient hedg read metric
Failed find method  |  in dfsclient; no hedged read metrics: ,warn,fail find method dfsclient hedg read metric
Failed invoking method  |  on dfsclient; no hedged read metrics: ,warn,fail invok method dfsclient hedg read metric
Failed invoking method  |  on dfsclient; no hedged read metrics: ,warn,fail invok method dfsclient hedg read metric
Failed invoking method  |  on dfsclient; no hedged read metrics: ,warn,fail invok method dfsclient hedg read metric
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,warn,empti messag
Delete Bloom filters are disabled by configuration for  |  (configuration is null),info,delet bloom filter disabl configur configur null
Got exception in closing idle admin,info,got except close idl admin
Got exception in closing idle connection,info,got except close idl connect
"Unexpected: cached Connection is aborted/closed, removed from cache",info,unexpect cach connect remov cach
Region replica replication peer id=region_replica_replication not exist,warn,region replica replic peer exist
Region replica replication peer id=region_replica_replication not exist. Creating...,info,region replica replic peer exist creat
DFSUtil.getNNServiceRpcAddresses failed. serviceName=,warn,fail
Recover lease on dfs file ,info,recov leas df file
"Cannot recoverLease after trying for  | hbase.lease.recovery.timeout | ms (hbase.lease.recovery.timeout); continuing, but may be DATALOSS!!!; ",warn,recoverleas tri ms continu may dataloss
"Recovered lease, ",info,recov leas
$$$Empty Message$$$,warn,empti messag
No access,warn,access
Failed invocation for ,warn,fail invoc
"vmName= | , vmVendor= | , vmVersion=",info,
vmInputArguments=,info,
: ,info,
env:,info,env
Trouble retrieving htd,warn,troubl retriev htd
Trouble retrieving htd,warn,troubl retriev htd
Failed cleanup of ,warn,fail cleanup
Updated tableinfo=,info,updat
Failed cleanup of ,warn,fail cleanup
Table region start key was not empty.  Created new empty region:  |  ,info,tabl region start key empti creat new empti region
Table region end key was not empty.  Created new empty region:  |  ,info,tabl region end key empti creat new empti region
Plugged hole by creating new empty region:  |  ,info,plug hole creat new empti region
Not attempting to repair overlaps.,warn,attempt repair overlap
"Overlap group has  |  overlapping  | regions which is greater than  | , the max number of regions to merge",warn,overlap group overlap region greater max number region merg
== [ | ] Attempting fix splits in overlap state.,info,attempt fix split overlap state
"Too many overlaps were found on this group, falling back to regular merge.",info,mani overlap found group fall back regular merg
"This group range is [ | ,  | ]",info,group rang
This is a parent for this group: ,info,parent group
Found parent: ,info,found parent
Found potential daughter a: ,info,found potenti daughter
Found potential daughter b: ,info,found potenti daughter b
Trying to fix parent in overlap by removing the parent.,info,tri fix parent overlap remov parent
"Parent region could not be closed, continuing with regular merge...",warn,parent region could close continu regular merg
"Parent region could not be closed, continuing with regular merge...",warn,parent region could close continu regular merg
Unable to offline parent region:  | .  Just continuing with regular merge... ,warn,unabl offlin parent region continu regular merg
Unable to remove parent region in META:  | .  Just continuing with regular merge... ,warn,unabl remov parent region meta continu regular merg
[ | ] Sidelined parent region dir  |  into ,info,sidelin parent region dir
Done fixing split.,info,done fix split
"== [ | ] Merging regions into one region:  | ,",info,merg region one region
[ | ] Closing region: ,info,close region
[ | ] Was unable to close region  | .  Just continuing... ,warn,unabl close region continu
[ | ] Was unable to close region  | .  Just continuing... ,warn,unabl close region continu
[ | ] Offlining region: ,info,offlin region
[ | ] Unable to offline region from master:  | .  Just continuing... ,warn,unabl offlin region master continu
"[ | ] Created new empty container region:  |  to contain regions:  | ,",info,creat new empti contain region contain region
[ | ] Merging  |  into ,info,merg
Closing region: ,info,close region
Was unable to close region  | .  Just continuing... ,warn,unabl close region continu
Was unable to close region  | .  Just continuing... ,warn,unabl close region continu
Offlining region: ,info,offlin region
Unable to offline region from master:  | .  Just continuing... ,warn,unabl offlin region master continu
Before sideline big overlapped region: ,info,sidelin big overlap region
After sidelined big overlapped region:  |  to ,info,sidelin big overlap region
reached end of problem group: ,warn,reach end problem group
Naming new problem group: ,warn,name new problem group
"this is a split, log to splits",info,split log split
reached end of problem group: ,warn,reach end problem group
"Sidelined big overlapped regions, please bulk load them!",warn,sidelin big overlap region pleas bulk load
Failed to merge overlap group,warn,fail merg overlap group
Got exception in closing connection,info,got except close connect
"Failed to create lock file  | , try= |  of ",info,fail creat lock file
Encountered exception when opening lock file,warn,encount except open lock file
Interrupted when opening lock file,warn,interrupt open lock file
Took more than  |  seconds in obtaining lock,warn,took second obtain lock
Finishing hbck,info,finish hbck
"Failed to delete  | , try= |  of ",info,fail delet
Interrupted while deleting lock file,warn,interrupt delet lock file
Launching hbck,info,launch hbck
Loading regioninfos HDFS,info,load regioninfo hdf
Exiting integrity repairs after max  |  iterations.  | Tables integrity may not be fully repaired!,warn,exit integr repair max iter tabl integr may fulli repair
Successfully exiting integrity repairs after  |  iterations,info,success exit integr repair iter
Loading regionsinfo from the hbase:meta table,info,load regionsinfo hbase meta tabl
Loading region directories from HDFS,info,load region directori hdf
Loading region information from HDFS,info,load region inform hdf
Checking and fixing region consistency,info,check fix region consist
"Fail to create znode  | , try= |  of ",warn,fail creat znode
Delete HBCK znode  |  failed ,warn,delet hbck znode fail
"HBCK is running while master is not in maintenance mode, you might see transient error.  Please run HBCK multiple times to reduce the chance of transient error.",warn,hbck run master mainten mode might see transient error pleas run hbck multipl time reduc chanc transient error
$$$Empty Message$$$,warn,empti messag
Region's boundaries not aligned between stores and META for:,warn,region boundari align store meta
$$$Empty Message$$$,warn,empti messag
Attempting to handle orphan hdfs dir: ,info,attempt handl orphan hdf dir
Attempt to adopt orphan hdfs region skipped because no files present in  | . This dir could probably be deleted.,warn,attempt adopt orphan hdf region skip file present dir could probabl delet
"Problem reading orphan file  | , skipping",warn,problem read orphan file skip
"Orphan file  |  is possibly corrupted HFile, skipping",warn,orphan file possibl corrupt hfile skip
"No data in dir  | , sidelining data",warn,data dir sidelin data
"Min max keys are : [ | ,  | )",info,min max key
Creating new region : ,info,creat new region
Loading HBase regioninfo from HDFS...,info,load hbase regioninfo hdf
No integrity errors.  We are done with this phase. Glorious.,info,integr error done phase gloriou
Computing mapping of all store files,info,comput map store file
Validating mapping using HDFS state,info,valid map use hdf state
Trying to sideline reference file  |  to ,info,tri sidelin refer file
Computing mapping of all link files,info,comput map link file
Validating mapping using HDFS state,info,valid map use hdf state
Trying to sideline file  |  to ,info,tri sidelin file
Failed to read .regioninfo file for region ,warn,fail read file region
tableName was null for: ,warn,tablenam null
Unable to read .tableinfo from ,warn,unabl read
Trying to fix empty REGIONINFO_QUALIFIER hbase:meta rows.,info,tri fix empti hbase meta row
Trying to fix orphan table error: ,info,tri fix orphan tabl error
fixing orphan table:  |  from cache,info,fix orphan tabl cach
fixing orphan table:  |  with a default .tableinfo file,warn,fix orphan tabl default file
Strongly recommend to modify the TableDescriptor if necessary for: ,warn,strongli recommend modifi tabledescriptor necessari
Strongly recommend to re-run manually hfsck after all orphanTableDirs being fixed,warn,strongli recommend manual hfsck orphantabledir fix
