static_text,log_level,preprocessed_text
Could not initialize all stores for the region=,error,could initi store
close store failed,warn,close store fail
"Asked to modify this region's ( | ) memStoreSizing to a negative value which is incorrect. Current memStoreSizing= | , delta=",error,ask modifi region memstores neg valu incorrect current
Region  |  already closed,warn,region alreadi close
Memstore data size is *,error,memstor data size
Interrupted while waiting,warn,interrupt wait
Interrupted while waiting,warn,interrupt wait
"Store  |  on region  |  has been re-instantiated, cancel this compaction request.  |  It may be caused by the roll back of split transaction",warn,store region cancel compact request may caus roll back split transact
Received unexpected exception trying to write ABORT_FLUSH marker to WAL:,warn,receiv unexpect except tri write marker wal
 :  | Received exception while trying to write the flush request to wal,warn,receiv except tri write flush request wal
 :  | failed writing ABORT_FLUSH marker to WAL,warn,fail write marker wal
$$$Empty Message$$$,warn,empti messag
No such column family in batch mutation. ,warn,column famili batch mutat
$$$Empty Message$$$,warn,empti messag
Batch Mutation did not pass sanity check. ,warn,batch mutat pass saniti check
$$$Empty Message$$$,warn,empti messag
Batch mutation had a row that does not belong to this region. ,warn,batch mutat row belong region
"Failed getting lock, row=",warn,fail get lock
Failed delete of *,error,fail delet
Failed delete of *,error,fail delet
Null or non-existent edits file: ,warn,null edit file
The property 'hbase.skip.errors' has been deprecated. Please use hbase.hregion.edits.replay.skip.errors instead.,warn,properti deprec pleas use instead
=true so continuing. Renamed  |  as ,error,continu renam
$$$Empty Message$$$,warn,empti messag
 :  | Found decreasing SeqId. PreId= |  key= | ; edit=,error,found decreas seqid
No family for ,warn,famili
Row of  |  is not within region boundary,warn,row within region boundari
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
 :  | Skipping replaying compaction event : |  because its sequence id  |  is smaller than this regions  | lastReplayedOpenRegionSeqId of ,warn,skip replay compact event sequenc id smaller region lastreplayedopenregionseqid
 :  | Skipping replaying compaction event : |  because its sequence id  |  is smaller than this regions  | lastReplayedCompactionSeqId of ,warn,skip replay compact event sequenc id smaller region lastreplayedcompactionseqid
 :  | Found Compaction WAL edit for deleted family:,warn,found compact wal edit delet famili
 :  | At least one of the store files in compaction:  |  doesn't exist any more. Skip loading the file(s),warn,least one store file compact exist skip load file
" :  | Received a flush event with unknown action, ignoring. ",warn,receiv flush event unknown action ignor
" :  | Received a flush start marker from primary, but the family is not found. Ignoring |  StoreFlushDescriptor:",warn,receiv flush start marker primari famili found ignor storeflushdescriptor
 :  | Skipping replaying flush event : |  because its sequence id is smaller than this regions lastReplayedOpenRegionSeqId  |  of ,warn,skip replay flush event sequenc id smaller region lastreplayedopenregionseqid
 :  | Received a flush prepare marker with the same seqId:  |  before clearing the previous one with seqId:  | . Ignoring,warn,receiv flush prepar marker seqid clear previou one seqid ignor
 :  | Received a flush prepare marker with a smaller seqId:  |  before clearing the previous one with seqId:  | . Ignoring,warn,receiv flush prepar marker smaller seqid clear previou one seqid ignor
 :  | Received a flush prepare marker with a larger seqId:  |  before clearing the previous one with seqId:  | . Ignoring,warn,receiv flush prepar marker larger seqid clear previou one seqid ignor
 :  | Skipping replaying flush event : |  because its sequence id is smaller than this regions lastReplayedOpenRegionSeqId  |  of ,warn,skip replay flush event sequenc id smaller region lastreplayedopenregionseqid
" :  | Received a flush commit marker with smaller seqId:  |  than what we have prepared with seqId:  | . Picking up new file, but not dropping |   prepared memstore snapshot",warn,receiv flush commit marker smaller seqid prepar seqid pick new file drop prepar memstor snapshot
 :  | Received a flush commit marker with larger seqId:  |  than what we have prepared with seqId:  | . Picking up new file and dropping prepared |  memstore snapshot,warn,receiv flush commit marker larger seqid prepar seqid pick new file drop prepar memstor snapshot
" :  | Received a flush commit marker with seqId: | , but no previous prepared snapshot was found",warn,receiv flush commit marker seqid previou prepar snapshot found
 :  | At least one of the store files in flush:  |  doesn't exist any more. Skip loading the file(s),warn,least one store file flush exist skip load file
" :  | Received a flush commit marker from primary, but the family is not found. | Ignoring StoreFlushDescriptor:",warn,receiv flush commit marker primari famili found ignor storeflushdescriptor
 :  | Unexpected: flush commit marker received from store  |  but no associated flush context. Ignoring,warn,unexpect flush commit marker receiv store associ flush context ignor
 :  | Skipping replaying flush event : |  because its sequence id  |  is smaller than this regions  | lastReplayedOpenRegionSeqId of ,warn,skip replay flush event sequenc id smaller region lastreplayedopenregionseqid
" :  | Unknown region event received, ignoring :",warn,unknown region event receiv ignor
 :  | Skipping replaying region event : |  because its sequence id is smaller than this regions lastReplayedOpenRegionSeqId  |  of ,warn,skip replay region event sequenc id smaller region lastreplayedopenregionseqid
" :  | Received a region open marker from primary, but the family is not found.  | Ignoring. StoreDescriptor:",warn,receiv region open marker primari famili found ignor storedescriptor
 :  | At least one of the store files:  |  doesn't exist any more. Skip loading the file(s),warn,least one store file exist skip load file
 :  | Skipping replaying bulkload event : |  because its sequence id is smaller than this region's lastReplayedOpenRegionSeqId |  =,warn,skip replay bulkload event sequenc id smaller region lastreplayedopenregionseqid
" :  | Received a bulk load marker from primary, but the family is not found.  | Ignoring. StoreDescriptor:",warn,receiv bulk load marker primari famili found ignor storedescriptor
 :  |  doesn't exist any more. Skip loading the file,warn,exist skip load file
"File  |  is zero-length, deleting.",warn,file delet
Thread interrupted waiting for lock on row: ,warn,thread interrupt wait lock row
"Error to get row lock for  | , cause: ",warn,error get row lock caus
There were one or more IO errors when checking if the bulk load is ok.,error,one io error check bulk load ok
"There was a recoverable bulk load failure likely due to a |  split.  These (family, HFile) pairs were not loaded: ",warn,recover bulk load failur like due split famili hfile pair load
There was a partial failure due to IO when attempting to |  load  |  : ,error,partial failur due io attempt load
Error while calling failedBulkLoad for family  |  with path ,error,error call failedbulkload famili path
Failed to find the size of hfile ,warn,fail find size hfile
There was a partial failure due to IO when attempting to |  load  |  : ,error,partial failur due io attempt load
Error while calling failedBulkLoad for family  |  with path ,error,error call failedbulkload famili path
"Failed getting lock, row=",warn,fail get lock
RowProcessor: |  throws Exception,warn,rowprocessor throw except
RowProcessor: |  throws Exception,warn,rowprocessor throw except
RowProcessor timeout: |  ms,error,rowprocessor timeout ms
"Coprocessor service  |  already registered, rejecting request from ",error,coprocessor servic alreadi regist reject request
Cannot split meta region in HBase 0.20 and above,warn,split meta region hbase
Ignoring invalid split,error,ignor invalid split
$$$Empty Message$$$,warn,empti messag
"Unexpected metadata - start row [ | ], end row [ | ] in file [ | ], pushing to L0",error,unexpect metadata start row end row file push l0
"Store file doesn't fit into the tentative stripes - expected to start at [ | ], but starts at [ | ], to L0 it goes",warn,store file fit tent stripe expect start start l0 goe
"The range of the loaded files does not cover full key space: from [ | ], to [ | ]",warn,rang load file cover full key space
"Inconsistent files, everything goes to L0.",warn,inconsist file everyth goe l0
The newly compacted file doesn't have stripes set: ,warn,newli compact file stripe set
"Stripes were created by a flush, but results of size  |  cannot be added because the stripes have changed",warn,stripe creat flush result size ad stripe chang
"Setting  |  to  | , same value as  |  because supplied value greater than initial memstore size value.",warn,set valu suppli valu greater initi memstor size valu
"Setting  |  to  | , same value as  |  because supplied value less than initial memstore size value.",warn,set valu suppli valu less initi memstor size valu
"Setting  |  to  | , same value as  |  because supplied value greater than initial block cache size.",warn,set valu suppli valu greater initi block cach size
"Setting  |  to  | , same value as  |  because supplied value less than initial block cache size.",warn,set valu suppli valu less initi block cach size
heapOccupancyPercent  |  is above heap occupancy alarm watermark ( | ),warn,heapoccupancyperc heap occup alarm watermark
Exception thrown from the HeapMemoryTuner implementation,error,except thrown heapmemorytun implement
close store scanner failed,warn,close store scanner fail
failed to switch to stream read,warn,fail switch stream read
Interrupted waiting for  |  to finish...,warn,interrupt wait finish
Total number of regions is approaching the upper limit  | .  | Please consider taking a look at http://hbase.apache.org/book.html#ops.regionmgt,warn,total number region approach upper limit pleas consid take look http
Compaction selection failed ,error,compact select fail
Compaction failed ,error,compact fail
Compaction failed ,error,compact fail
Failed to close the writer after an unfinished compaction.,error,fail close writer unfinish compact
Failed match of store file name ,warn,fail match store file name
Skipping  |  because it is empty. HBASE-646 DATA LOSS?,warn,skip empti data loss
parse proto buffer of split WAL request failed ,error,pars proto buffer split wal request fail
failed to split WAL *.,warn,fail split wal
Failed to delete a file after failed flush: ,error,fail delet file fail flush
"Failed to close flush scanner, ignoring",warn,fail close flush scanner ignor
"Fail to open mob file[ | ], keep it in temp directory.",error,fail open mob file keep temp directori
"The Cell result is null, assemble a new Cell with the same row,family,qualifier,timestamp,type and tags but with an empty value to return.",warn,cell result null assembl new cell row famili qualifi timestamp type tag empti valu return
The mob file  |  is corrupt,error,mob file corrupt
The mob file  |  could not be found in the locations  |  or it is corrupt,error,mob file could found locat corrupt
"Compaction check period multiplier must be positive, setting default: *1000",error,compact check period multipli must posit set default 1000
Could not close store file,warn,could close store file
Clearing the compacted storefile * from this store,warn,clear compact storefil store
Trying to bulk load hfile  |  with size:  |  bytes can be problematic as it may lead to oversplitting.,warn,tri bulk load hfile size byte problemat may lead oversplit
"Failed validating store file *, retrying num=*",warn,fail valid store file retri
"Failed flushing store file, retrying num=*",warn,fail flush store file retri
"Failed to open store file : *, keeping it in tmp location",error,fail open store file keep tmp locat
StoreFile * has a null Reader,warn,storefil null reader
Failed getting store size for *,warn,fail get store size
Compaction priority is USER despite there being no user compaction,warn,compact prioriti user despit user compact
Failed to commit store file *,error,fail commit store file
"Failed to delete store file we committed, halting *",error,fail delet store file commit halt
Exception while trying to close the compacted store file *,error,except tri close compact store file
failed to close stream reader,warn,fail close stream reader
Bad Delete Family bloom filter data -- proceeding without,error,bad delet famili bloom filter data proceed without
Error reading bloom filter data -- proceeding without,error,error read bloom filter data proceed without
Bad bloom filter data -- proceeding without,error,bad bloom filter data proceed without
Error reading bloom filter meta for  |  -- proceeding without,error,error read bloom filter meta proceed without
Bad bloom filter meta  |  -- proceeding without,error,bad bloom filter meta proceed without
Exception while closing the scanner ,error,except close scanner
Closing scanner for ,error,close scanner
Closing scanner for ,error,close scanner
"Scanner  |  lease expired, but no related |  scanner found, hence no chance to close that related scanner!",warn,scanner leas expir relat scanner found henc chanc close relat scanner
Closing scanner ,warn,close scanner
Large batch operation detected (greater than  | ) (HBASE-18023). |  Requested Number of Rows:  |  Client:  | / |  first region in multi=,warn,larg batch oper detect greater request number row client first region
Run out of memory;  |  will abort itself immediately,error,run memori abort immedi
Unknown queue name ,warn,unknown queue name
Clear compactions queue is executing by other admin.,warn,clear compact queue execut admin
OpenRegionRequest for * does not have a start code,warn,openregionrequest start code
CloseRegionRequest for * does not have a start code,warn,closeregionrequest start code
$$$Empty Message$$$,warn,empti messag
Failed opening region ,warn,fail open region
Failed warming up region ,error,fail warm region
Error while skipping Cells in CellScanner for invalid Region Mutations,error,error skip cell cellscann invalid region mutat
Client tried to access missing scanner ,warn,client tri access miss scanner
", closing...",warn,close
Getting exception closing ,warn,get except close
Getting exception closing ,warn,get except close
"Failed to get TableDescriptor of *, will try again in the handler",warn,fail get tabledescriptor tri handler
"Failed to instantiating remote procedure *, pid=*",warn,fail instanti remot procedur
"Segment flattening failed, because versions do not match. Requester version:  | , actual version: ",warn,segment flatten fail version match request version actual version
"Segment flattening failed, because versions do not match",warn,segment flatten fail version match
Error reading timestamp range data from meta -- proceeding without,error,error read timestamp rang data meta proceed without
Error reading compacted storefiles from meta data,error,error read compact storefil meta data
failed to close reader,warn,fail close reader
Unable to ask master to split ,error,unabl ask master split
Above memory mark but there are no flushable regions!,error,memori mark flushabl region
Cache flusher failed for entry ,error,cach flusher fail entri
Refreshing store files failed with exception,warn,refresh store file fail except
* has too many store files(*); delaying flush up to * ms,warn,mani store file delay flush ms
Cache flush failed for region ,error,cach flush fail region
Cache flush failed |  for region  | ,error,cach flush fail region
Interrupted while waiting,warn,interrupt wait
Memstore is above high water mark and block * ms,warn,memstor high water mark block ms
Not starting a distinct region server because hbase.cluster.distributed is false,warn,start distinct region server fals
Region server exiting,error,region server exit
"Unable to load configured flush policy ' | ' for table ' | ', load default flush policy  |  instead",warn,unabl load configur flush polici tabl load default flush polici instead
Snapshot called again without clearing previous. Doing nothing. Another ongoing flush or did we fail last attempt?,warn,snapshot call without clear previou noth anoth ongo flush fail last attempt
Failed construction RegionServer,error,fail construct regionserv
"Coprocessor executorService  |  already registered, rejecting request from ",error,coprocessor executorservic alreadi regist reject request
reportForDuty failed; sleeping * ms and then retrying.,warn,reportforduti fail sleep ms retri
Initialize abort timeout task failed,warn,initi abort timeout task fail
Failed to stop infoServer,error,fail stop infoserv
Attempt to close server's short circuit ClusterConnection failed.,warn,attempt close server short circuit clusterconnect fail
Failed deleting my ephemeral node,warn,fail delet ephemer node
Interrupted while sleeping,warn,interrupt sleep
Shutdown / close of WAL failed: ,error,shutdown close wal fail
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Failed major compaction check on ,warn,fail major compact check
SplitLogWorker Service NOT started; CoordinatedStateManager is null,warn,splitlogwork servic start coordinatedstatemanag null
$$$Empty Message$$$,error,empti messag
Failed binding http info server to port: ,error,fail bind http info server port
The region server did not stop,warn,region server stop
Skipping coprocessor exception on preStop() due to forced shutdown,warn,skip coprocessor except prestop due forc shutdown
No sequence number found when opening ,error,sequenc number found open
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
RegionServer abort: loaded coprocessors are: ,error,regionserv abort load coprocessor
Failed dumping metrics,warn,fail dump metric
Unable to report fatal error to master,warn,unabl report fatal error master
Unable to connect to master. Retrying. Error was:,warn,unabl connect master retri error
Master rejected startup because clock is out of sync,error,master reject startup clock sync
error telling master we are up,warn,error tell master
Unable to connect to the master to check the last flushed sequence id,warn,unabl connect master check last flush sequenc id
Unable to connect to the master to check the last flushed sequence id,warn,unabl connect master check last flush sequenc id
Exception attempting to fetch wal coprocessor information for the common wal; skipping.,warn,except attempt fetch wal coprocessor inform common wal skip
Exception attempting to fetch wal coprocessor information for region  | ; skipping.,warn,except attempt fetch wal coprocessor inform region skip
Failed to close  |  - ignoring and continuing,warn,fail close ignor continu
Failed to close  |  - ignoring and continuing,warn,fail close ignor continu
Unable to close region: the coprocessor launched an error ,warn,unabl close region coprocessor launch error
The opening for region  |  was done before we could cancel it. |  Doing a standard close now,warn,open region done could cancel standard close
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Not adding moved region record:  |  to self.,warn,ad move region record self
Failed to initialize SuperUsers on reloading of the configuration,warn,fail initi superus reload configur
"Received procedure pid=*, which already submitted, just ignore it",warn,receiv procedur alreadi submit ignor
"Received procedure pid=*, which already executed, just ignore it",warn,receiv procedur alreadi execut ignor
"Aborting region server timed out, terminating forcibly and does not wait for any running shutdown hooks or finalizers to finish their work. Thread dump to stdout.",warn,abort region server time termin forcibl wait run shutdown hook final finish work thread dump stdout
STUCK: ,warn,stuck
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
close KeyValueScanner error,warn,close keyvaluescann error
 not specified for table  | . Using default RegionSplitPolicy,error,specifi tabl use default regionsplitpolici
Delimiter  |   not found for split key ,warn,delimit found split key
Failed to get hedged metrics,warn,fail get hedg metric
Caught exception! Will suppress and retry.,warn,caught except suppress retri
 not specified for table  | . Using default RegionSplitPolicy,error,specifi tabl use default regionsplitpolici
Number format exception when parsing  |  for table  | : | . ,error,number format except pars tabl
Invalid value for  |  for table  | : | . Using default RegionSplitPolicy,error,invalid valu tabl use default regionsplitpolici
Exception while trying to close and archive the compacted store  | files of the store   |  in the |  region ,error,except tri close archiv compact store file store region
* is not of type RegionServerCoprocessor. Check the configuration of *hbase.coprocessor.regionserver.classes,error,type regionservercoprocessor check configur
Storefile  |  Reader is null; cannot get split point,warn,storefil reader null get split point
Snapshot called again without clearing previous. Doing nothing. Another ongoing flush or did we fail last attempt?,warn,snapshot call without clear previou noth anoth ongo flush fail last attempt
Unable to run in-memory compaction on */*; exception=*,warn,unabl run compact
"Multiple unsuccessful attempts to push the compaction pipeline to snapshot, while flushing to disk.",warn,multipl unsuccess attempt push compact pipelin snapshot flush disk
Stripe store is forced to take an arbitrary file list and compact it.,warn,stripe store forc take arbitrari file list compact
Unexpected exception killed leases thread,error,unexpect except kill leas thread
lease listener is null for lease ,error,leas listen null leas
Could not load HFile info ,error,could load hfile info
"Threshold for maximum blocked requests is set too low or too high,  resetting to default of 0.2",warn,threshold maximum block request set low high reset default
Aggregation window size is too low:  | . Resetting it to default of ,warn,aggreg window size low reset default
"Split part count cannot be 1 ( | ), using the default",error,split part count use default
"Initial stripe count is 0, using the default",error,initi stripe count use default
%s is set to 0 or negative; using default value of %f,warn,set neg use default valu f
Couldn't find field 'clientFinalizer' in FileSystem!,error,could find field filesystem
Couldn't access field 'clientFinalizer' in FileSystem!,error,could access field filesystem
Failed to load coprocessor ,error,fail load coprocessor
* is not of type RegionCoprocessor. Check the configuration of *hbase.coprocessor.region.classes,error,type regioncoprocessor check configur
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
hbase.bulkload.staging.dir  |  is deprecated. Bulkload staging directory is ,warn,deprec bulkload stage directori
Failed to close FileSystem for: ,error,fail close filesystem
unable to add token,warn,unabl add token
Failed to complete bulk load,error,fail complet bulk load
Can't find previous permission for path=,warn,ca find previou permiss
Jumbo chunk size  |  must be more than regular chunk size  | . Converting to regular chunk.,warn,jumbo chunk size must regular chunk size convert regular chunk
* not tuning the chunk pool as it is offheap,warn,tune chunk pool offheap
"Number format exception parsing * for table *: *, *; using region.getMemStoreFlushHeapSize/# of families (*) and region.getMemStoreFlushOffHeapSize/# of families (*) instead.hbase.hregion.percolumnfamilyflush.size.lower.bound",warn,number format except pars tabl use famili famili
"Exception while trying to refresh store files for region: | , exception:",warn,except tri refresh store file region except
Invalid StoreFile: ,warn,invalid storefil
Invalid StoreFile: ,warn,invalid storefil
 doesn't exist for region:  |  on table ,warn,exist region tabl
 file not found for region:  |  on table ,warn,file found region tabl
Trying to create a region that already exists on disk: ,warn,tri creat region alreadi exist disk
Unable to create the region directory: ,warn,unabl creat region directori
Trying to open a region that do not exists on disk: ,warn,tri open region exist disk
Trying to delete a region that do not exists on disk: ,warn,tri delet region exist disk
Failed delete of ,warn,fail delet
Nonce grace period  |  is less than a minute; might be too small to be useful,warn,nonc grace period less minut might small use
"Nonce collision during WAL recovery:  | ,  |  with ",warn,nonc collis wal recoveri
could not find root dir or fs,warn,could find root dir fs
"log splitting of  |  interrupted, resigning",warn,log split interrupt resign
WAL * does not exist anymore,warn,wal exist anymor
"log replaying of  |  can't connect to the target regionserver,  | resigning",warn,log replay ca connect target regionserv resign
"log splitting of  |  interrupted, resigning",warn,log split interrupt resign
"log splitting of  |  failed, returning error",warn,log split fail return error
unexpected error ,error,unexpect error
Can not check for compaction: ,error,check compact
Value for  | :  | . All the files will be eligible for minor compaction.,warn,valu file elig minor compact
Ignoring invalid start/end hour for peak hour : start =  |  end =  | . Valid numbers are [0-23],warn,ignor invalid hour peak hour start end valid number
Value for  | :  | . Will always promote to next tier.,warn,valu alway promot next tier
Failed to close the writer after an unfinished compaction.,warn,fail close writer unfinish compact
Failed to delete the leftover file  |  after an unfinished compaction.,warn,fail delet leftov file unfinish compact
Major compaction is not supported for FIFO compaction policy. Ignore the flag.,warn,major compact support fifo compact polici ignor flag
Null reader for ,warn,null reader
Failed to delete the leftover file  |  after an unfinished compaction.,warn,fail delet leftov file unfinish compact
totalCompactingKVs=* less than currentCompactedKVs=*,warn,less
$$$Empty Message$$$,error,empti messag
task execution preempted ,warn,task execut preempt
Region  |  was already online when we started processing the opening.  | Marking this new attempt as failed,error,region alreadi onlin start process open mark new attempt fail
Region  |  opening cancelled,error,region open cancel
Bad state: we've just opened a region that was NOT in transition. Region=,error,bad state open region transit
"Race condition: we've finished to open a region, while a close was requested  |  on region= | . It can be a critical error, as a region that |  should be closed is now opened. Closing it now",error,race condit finish open region close request critic error region close open close
Interrupted joining ,warn,interrupt join
$$$Empty Message$$$,warn,empti messag
Open region aborted since it isn't opening any more,warn,open region abort sinc open
Failed open of region=,error,fail open
Caught throwable while processing event ,error,caught throwabl process event
Was not able to trigger a flush from primary region due to old server version?  | Continuing to open the secondary region replica: ,warn,abl trigger flush primari region due old server version continu open secondari region replica
Received CLOSE for region * but currently not serving - ignoring,warn,receiv close region current serv ignor
"Can't close region *, was already closed during close()",warn,ca close region alreadi close close
Error when call RSProcedureCallable: ,error,error call rsprocedurecal
"Failed to open region *, will report to master",warn,fail open region report master
"Received OPEN for the region:*, which is already online",warn,receiv open region alreadi onlin
Bad state: we've just opened a region that was NOT in transition. Region=*,error,bad state open region transit
Bad state: we've just opened a region that was closing. Region=*,error,bad state open region close
"Fatal error occurred while opening region *, aborting...",warn,fatal error occur open region abort
"Received CLOSE for the region: *, which we are already trying to OPEN. try again after *ms",warn,receiv close region alreadi tri open tri ms
"Can't close region *, was already closed during close()",warn,ca close region alreadi close close
"Fatal error occurred while closing region *, aborting...",warn,fatal error occur close region abort
got interrupted exception for ,error,got interrupt except
unexpected future,warn,unexpect futur
Got InterruptedException in SnapshotSubprocedurePool,warn,got interruptedexcept snapshotsubprocedurepool
Rethrowing ForeignException from SnapshotSubprocedurePool,warn,rethrow foreignexcept snapshotsubprocedurepool
Got Exception in SnapshotSubprocedurePool,warn,got except snapshotsubprocedurepool
"Unable to load configured throughput controller ' | ', load default throughput controller  |  instead",warn,unabl load configur throughput control load default throughput control instead
" is deprecated, please use  |  instead",warn,deprec pleas use instead
"Unable to load configured flush throughput controller ' | ', load default throughput controller  |  instead",warn,unabl load configur flush throughput control load default throughput control instead
 is not of type WALCoprocessor. Check the  | configuration ,error,type walcoprocessor check configur
"normal close failed, try recover",warn,normal close fail tri recov
"Flushing Map not cleaned up for  | , sequenceid=",warn,flush map clean
Couldn't find oldest sequenceid for ,warn,could find oldest sequenceid
$$$Empty Message$$$,error,empti messag
Interrupted,warn,interrupt
Please use the WALPerformanceEvaluation tool instead. i.e.:,error,pleas use walperformanceevalu tool instead
\thbase org.apache.hadoop.hbase.wal.WALPerformanceEvaluation --iterations ,error,iter
$$$Empty Message$$$,warn,empti messag
"After parsing the trailer, we expect the total footer to be * bytes, but we calculate it as being *",warn,pars trailer expect total footer byte calcul
"Invalid trailer Size  | , ignoring the trailer",warn,invalid trailer size ignor trailer
Please investigate WALTrailer usage. Trailer size > maximum configured size :  |  > ,warn,pleas investig waltrail usag trailer size maximum configur size
Got IOE while reading the trailer. Continuing as if no trailer is present.,warn,got ioe read trailer continu trailer present
"Read WALTrailer while reading WALEdits. wal:  | , inputStream.getPos():  | , walEditsStopOffset: ",error,read waltrail read waledit wal waleditsstopoffset
"Encountered a malformed edit, but can't seek back to last good position because originalPosition is negative. last offset=*",warn,encount malform edit ca seek back last good posit originalposit neg last
"Encountered a malformed edit, seeking to the beginning of the WAL since current position and original position match at *",warn,encount malform edit seek begin wal sinc current posit origin posit match
"Encountered a malformed edit, seeking back to last good position in file, from * to *",warn,encount malform edit seek back last good posit file
"Sequence= | , event=",error,
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
pre-sync failed but an optimization so keep going,warn,fail optim keep go
Failed sync-before-close but no outstanding appends; closing WAL,warn,fail outstand append close wal
"Riding over failed WAL close of  | , cause=\ | \ | ; THIS FILE WAS NOT CLOSED BUT ALL EDITS SYNCED SO SHOULD BE OK",warn,ride fail wal close file close edit sync ok
"Failed close of WAL writer  | , unflushedEntries=",error,fail close wal writer
Timed out bringing down disruptor after  | ms; forcing halt  | (It is a problem if this is NOT an ABORT! -- DATALOSS!!!!),warn,time bring disruptor ms forc halt problem abort dataloss
"Error syncing, request close of WAL",error,error sync request close wal
UNEXPECTED,warn,unexpect
"UNEXPECTED, continuing",warn,unexpect continu
HDFS pipeline error detected.  | Found  |  replicas but expecting no less than  |  replicas.  |  Requesting close of WAL. current pipeline: ,warn,hdf pipelin error detect found replica expect less replica request close wal current pipelin
"Too many consecutive RollWriter requests, it's a sign of the total number of live datanodes is lower than the tolerable replicas.",warn,mani consecut rollwrit request sign total number live datanod lower toler replica
"DFSOutputStream.getNumCurrentReplicas failed because of  | , continuing...",warn,fail continu
UNEXPECTED!!! syncFutures.length=,error,unexpect
Interrupted ,warn,interrupt
$$$Empty Message$$$,warn,empti messag
%s took %d ms appending an edit to wal; len~=%s,warn,took ms append edit wal
WALTrailer is null. Continuing with default.,warn,waltrail null continu default
Please investigate WALTrailer usage. Trailer size > maximum size :  |  > ,warn,pleas investig waltrail usag trailer size maximum size
"Failed to write trailer, non-fatal, continuing...",warn,fail write trailer continu
"Can not get task queue of  | , this is not necessary, just give up",warn,get task queue necessari give
sync failed,warn,sync fail
RingBufferTruck with unexpected type: ,warn,ringbuffertruck unexpect type
We have waited  |  seconds but |  the close of async writer doesn't complete. | Please check the status of underlying filesystem |  or increase the wait time by the config \ | \,error,wait second close async writer complet pleas check statu underli filesystem increas wait time config
The wait for close of async writer is interrupted,error,wait close async writer interrupt
Lost the ZooKeeper connection for peer ,warn,lost zookeep connect peer
Creation of ZookeeperWatcher failed for peer ,warn,creation zookeeperwatch fail peer
The HBaseReplicationEndpoint corresponding to peer  |  was aborted for the following reason(s):,error,hbasereplicationendpoint correspond peer abort follow reason
Error reading slave addresses,error,error read slave address
Failed to get bulk load events information from the WAL file.,warn,fail get bulk load event inform wal file
Not tracking replication peer config changes for Peer Id  |  because there's no such peer,warn,track replic peer config chang peer id peer
Unable to create WALEntryFilter ,error,unabl creat walentryfilt
"Failed to read zookeeper, skipping checking deletable files",warn,fail read zookeep skip check delet file
Error while configuring ,error,error configur
Error while configuring ,error,error configur
"Failed to read hfile references from zookeeper, skipping checking deletable files",warn,fail read hfile refer zookeep skip check delet file
 is not enabled. Better to remove  |  from  |  configuration.,warn,enabl better remov configur
Error while configuring ,error,error configur
Error while configuring ,error,error configur
"Failed to read hfile references from zookeeper, skipping checking deletable  | file for ",warn,fail read hfile refer zookeep skip check delet file
upgrade tableCFs failed for peerId=,error,upgrad tablecf fail
"NOTICE!! Update peerId failed, peerId=",warn,notic updat peerid fail
"NOTICE!! Update peerId failed, peerId=",warn,notic updat peerid fail
"NOTICE!! Update peerId failed, peerId=",warn,notic updat peerid fail
* Failed to create connection for peer cluster,warn,fail creat connect peer cluster
"* No replication sinks found, returning without replicating. The source should retry with the same set of edits.",warn,replic sink found return without replic sourc retri set edit
* Can't replicate because of an error on the remote cluster: ,warn,ca replic error remot cluster
* Exception checking for local table: ,warn,except check local tabl
"* Peer encountered RemoteException, rechecking all sinks: ",warn,peer encount remoteexcept recheck sink
"* Peer is unavailable, rechecking all sinks: ",warn,peer unavail recheck sink
* Can't replicate because of a local or network error: ,warn,ca replic local network error
* Failed to close the connection,warn,fail close connect
WAL group  |  queue size:  |  exceeds value of replication.source.log.queue.warn: ,warn,wal group queue size exce valu
Ignore the exception as the file size of HLog only affects the web ui,warn,ignor except file size hlog affect web ui
"* No replication ongoing, waiting for new log",warn,replic ongo wait new log
Unexpected exception in * currentPath=*,error,unexpect except
"* error creating ReplicationEndpoint, retry",warn,error creat replicationendpoint retri
"* Error starting ReplicationEndpoint, retry",warn,error start replicationendpoint retri
* Closing source * because an error occurred: *,error,close sourc error occur
* Got exception while waiting for endpoint to shutdown for replication source : *,warn,got except wait endpoint shutdown replic sourc
"Passed replication source implementation throws errors, defaulting to ReplicationSource",warn,pass replic sourc implement throw error default replicationsourc
"Couldn't get file length information about log *, it * closed cleanly *",warn,could get file length inform log close cleanli
"Processing end of WAL file '*'. At position *, which is too far away from reported file length *. Restarting WAL reading (see HBASE-15983 for details). *",warn,process end wal file posit far away report file length restart wal read see detail
Couldn't locate log: ,error,could locat log
Try to recover the WAL lease ,warn,tri recov wal leas
"Got NPE opening reader, will retry.",warn,got npe open reader retri
unable to recover lease for WAL: ,warn,unabl recov leas wal
Received exception while creating connection :,warn,receiv except creat connect
